104.155.101.3 - - [08/Oct/2021:00:04:41 +0300] "GET / HTTP/1.1" 301 178 "-" "python-requests/2.26.0"
185.181.247.181 - - [08/Oct/2021:00:07:15 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
185.181.247.181 - - [08/Oct/2021:00:07:16 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"
52.228.26.217 - - [08/Oct/2021:00:12:21 +0300] "GET / HTTP/1.1" 301 178 "-" "curl/7.58.0"
39.149.80.122 - - [08/Oct/2021:00:19:01 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36 Edg/90.0.818.42"
94.28.154.202 - - [08/Oct/2021:00:28:30 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:39 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:39 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:40 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:40 +0300] "GET /index.php HTTP/1.0" 301 178 "https://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:41 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:42 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
94.28.154.202 - - [08/Oct/2021:00:28:42 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
23.228.109.147 - - [08/Oct/2021:00:28:51 +0300] "GET /wp-login.php HTTP/1.1" 301 178 "-" "ALittle Client"
23.228.109.147 - - [08/Oct/2021:00:29:09 +0300] "GET /wp-login.php HTTP/1.1" 404 5277 "-" "ALittle Client"
62.173.149.24 - - [08/Oct/2021:00:33:08 +0300] "GET /index.php HTTP/1.0" 301 178 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
62.173.149.24 - - [08/Oct/2021:00:33:08 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
62.173.149.24 - - [08/Oct/2021:00:33:09 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
62.173.149.24 - - [08/Oct/2021:00:33:10 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
23.250.29.7 - - [08/Oct/2021:00:36:49 +0300] "GET /index.php HTTP/1.1" 301 178 "http://geckonhd.net/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3393.4 Safari/537.36"
23.250.29.7 - - [08/Oct/2021:00:36:50 +0300] "GET /index.php HTTP/1.1" 404 1253 "http://geckonhd.net/index.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3393.4 Safari/537.36"
23.250.29.7 - - [08/Oct/2021:00:36:51 +0300] "GET / HTTP/1.1" 200 20533 "https://licey.stop.cash" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3393.4 Safari/537.36"
23.250.29.7 - - [08/Oct/2021:00:36:53 +0300] "GET /%E2%84%96 HTTP/1.0" 404 5256 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3393.4 Safari/537.36"
23.250.29.7 - - [08/Oct/2021:00:36:55 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3393.4 Safari/537.36"
162.142.125.196 - - [08/Oct/2021:00:48:09 +0300] "GET / HTTP/1.1" 301 178 "-" "-"
162.142.125.196 - - [08/Oct/2021:00:48:09 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
162.142.125.196 - - [08/Oct/2021:00:48:10 +0300] "GET / HTTP/1.1" 200 20539 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
